Region,Winery Name,Street Address,City,State,Phone,Website,,,,lat,lon
Heart of Appalachia,MountainRose Vineyards,10439 N. Reservoir Rd.,Wise,VA,276-328-2013,mountainrosevineyard.com,,,,36.97064250951611,-82.52447474
Heart of Appalachia,Vincent's Vineyard,2313 E. Main St.,Lebanon,VA,276-219-4522,vincentsvineyard.com,,,,36.9107739,-82.0419435
Hampton Roads,Breezy Hill Meadworks,15981 Breezy Hill Ln.,Smithfield,VA,757-214-7494,breezyhillmeadworks.com,,,,36.9291898,-76.60322135
Hampton Roads,Gauthier Vineyard,5000 Farmers Dr.,Barhamsville,VA,757-350-3125,gauthiervineyard.com,,,,37.468842,-76.832807
Hampton Roads,Hampton Roads Winery,6074 New Design Rd.,Elberon,VA,757-899-0203,hamptonroadswinery.com,,,,37.07157925,-76.87516534
Hampton Roads,Jolene Family Winery,2750 Pocahontas Tr.,Quinton,VA,804-557-5316,jolenefamilywinery.com,,,,37.504771,-77.180969
Hampton Roads,Mermaid Winery,101 Granby St.,Norfolk,VA,757-233-4155,mermaidwinery.com,,,,36.8465135,-76.2924117
Hampton Roads,New Kent Winery,8400 Old Church Rd.,New Kent,VA,804-922-7414,newkentwinery.com,,,,37.524963,-77.075543
Hampton Roads,Saudé Creek Vineyards,16230 Cooks Mill Rd.,Lanexa,VA,804-966-5896,saudecreek.com,,,,37.4237573,-76.9010753
Hampton Roads,Sly Clyde Ciderworks,207 E. Mellen St.,Hampton,VA,,slyclyde.com,,,,37.016485,-76.3194668
Hampton Roads,Smithfield Winery,117 N. Church St.,Smithfield,VA,757-797-9463,smithfieldwinery.com,,,,36.982388595207496,-76.63135515
Hampton Roads,SummerWind Vineyard,71 Eagle Nest Ln.,Smithfield,VA,757-357-2173,swvsmithfield.com,,,,37.01261255,-76.60942921
Hampton Roads,Upper Shirley Vineyards,600 Shirley Plantation Rd.,Charles City,VA,804-829-9463,uppershirley.com,,,,37.34867362,-77.24116835
Hampton Roads,Williamsburg Winery,5800 Wessex Hundred,Williamsburg,VA,757-229-0999,williamsburgwinery.com,,,,37.2318386,-76.71818763
Eastern Shore,Chatham Vineyards on Church Creek,9232 Chatham Rd.,Machipongo,VA,757-678-5588,chathamvineyards.com,,,,37.453868,-75.932033
Chesapeake Bay,Backporch Vineyard,16595 Wilmont Rd.,King George,VA,540-940-3939,backporchvineyard.com,,,,38.18170138,-77.06702025
Chesapeake Bay,Caret Cellars,495 Meadow Landing Ln.,Caret,VA,540-413-6454,caretcellars.com,,,,37.973435,-76.963723
Chesapeake Bay,Ditchley Cider Works,1571 Ditchley Rd.,Kilmarnock,VA,804-435-3851,ditchleyciderworks.com,,,,37.7342575,-76.33442366
Chesapeake Bay,General's Ridge Vineyard,1618 Weldons Dr.,Hague,VA,804-472-3172,generalsridgevineyard.com,,,,38.029975,-76.663468
Chesapeake Bay,Good Luck Cellars,1025 Good Luck Rd.,Kilmarnock,VA,804-435-1416,goodluckcellars.com,,,,37.7104805,-76.3796997
Chesapeake Bay,Ingleside Vineyards,5872 Leedstown Rd.,Oak Grove,VA,804-224-8687,inglesidevineyards.com,,,,38.9807325,-77.4089183
Chesapeake Bay,Jacey Vineyards,619 Train Ln.,Heathsville,VA,804-580-4053,jaceyvineyard.com,,,,37.8001163,-76.3363669
Chesapeake Bay,Mattapony Reserve,1581 Mattaponi Reservation Cir.,West Point,VA,,mattaponyreserve.info,,,,37.5315303,-76.7963566
Chesapeake Bay,Monroe Bay Winery,4786 James Monroe Hwy.,Colonial Beach,VA,804-410-5628,monroebaywine.com,,,,38.245372,-76.983023
Chesapeake Bay,Rivah Vineyards at The Grove,671 Kinsale Bridge Rd.,Kinsale,VA,804-599-8552,rivahvineyards.com,,,,38.04443973121213,-76.58066389
Chesapeake Bay,The Estate at White Hall Vineyard,3668 White Hall Rd.,King George,VA,540-656-6958,theestateatwhitehall.com,,,,38.2788806,-77.28512806
Chesapeake Bay,The Hague Winery,8268 Cople Hwy.,Hague,VA,804-472-5283,thehaguewinery.com,,,,38.07169,-76.656055
Chesapeake Bay,Triple V Farms,3138 Jessie DuPont Memorial Hwy.,Heathsville,VA,804-724-5765,triplevfarms.com,,,,37.841917,-76.371742
Chesapeake Bay,Wind Vineyards at Laurel Grove,5178 Richmond Hwy.,Tappahannock,VA,804-238-5544,windvineyards.com,,,,37.843328,-76.927641
Chesapeake Bay,Zoll Vineyards,10309 Vineyard Rd.,Dutton,VA,774-275-7581,zollvineyards.com,,,,37.4979152,-76.4574477
Central Virginia,7 Lady Vineyards,1500 Manakin Rd.,Manakin-Sabot,VA,804-784-6051,7ladyvineyards.com,,,,37.657957,-77.72126
Central Virginia,Afton Mountain Vineyards,234 Vineyard Ln.,Afton,VA,540-456-8667,aftonmountainvineyards.com,,,,38.009338,-78.85483
Central Virginia,Albemarle CiderWorks,2545 Rural Ridge Ln.,North Garden,VA,434-297-2326,albemarleciderworks.com,,,,37.96808676896519,-78.65110211
Central Virginia,Ankida Ridge Vineyards,1304 Franklin Creek Rd.,Amherst,VA,434-922-7678,ankidaridge.com,,,,37.7077134,-79.174295
Central Virginia,Ashton Creek Vineyard and Winery,14501 Jefferson Davis Hwy.,Chester,VA,804-896-1586,ashtoncreekvineyard.com,,,,37.30523335,-77.40890499
Central Virginia,Barboursville Vineyards,17655 Winery Rd.,Barboursville,VA,540-832-3824,bbvwine.com,,,,38.1603298,-78.27715
Central Virginia,Barn at 678,6045 Governor Barbour St.,Barboursville,VA,434-981-3793,barnat678.com,,,,38.16655413876015,-78.2743111
Central Virginia,Black Heath Meadery,1313 Altamont Ave.,Richmond,VA,804-998-7090,blackheathmeadery.com,,,,37.565363149999996,-77.47120477
Central Virginia,Blenheim Vineyards,31 Blenheim Farm,Charlottesville,VA,434-293-5366,blenheimvineyards.com,,,,37.93179,-78.499249
Central Virginia,Blue Bee Cider,4811 Bethlehem Rd. Ste. A,Richmond,VA,804-231-0280,bluebeecider.com,,,,37.591741,-77.488847
Central Virginia,Blue Quartz Winery,2585 S F T Valley Rd.,Etlan,VA,540-923-4048,bluequartzwinery.com,,,,38.492884,-78.282927
Central Virginia,Blue Toad Hard Cider,462 Winery Ln.,Roseland,VA,434-760-9200,bluetoadhardcider.com,,,,37.78846,-79.021816
Central Virginia,Bold Rock Hard Cider,1020 Rockfish Valley Hwy.,Nellysford,VA,434-361-1030,boldrock.com,,,,37.88097,-78.905649
Central Virginia,Brent Manor Vineyards,100 Brent Manor Ln.,Faber,VA,434-826-0722,brentmanorvineyards.com,,,,37.8315231,-78.7371019
